team,season,name,team,position,situation,games_played,xGoalsPercentage,corsiPercentage,fenwickPercentage,iceTime,xOnGoalFor,xGoalsFor,xReboundsFor,xFreezeFor,xPlayStoppedFor,xPlayContinuedInZoneFor,xPlayContinuedOutsideZoneFor,flurryAdjustedxGoalsFor,scoreVenueAdjustedxGoalsFor,flurryScoreVenueAdjustedxGoalsFor,shotsOnGoalFor,missedShotsFor,blockedShotAttemptsFor,shotAttemptsFor,goalsFor,reboundsFor,reboundGoalsFor,freezeFor,playStoppedFor,playContinuedInZoneFor,playContinuedOutsideZoneFor,savedShotsOnGoalFor,savedUnblockedShotAttemptsFor,penaltiesFor,penalityMinutesFor,faceOffsWonFor,hitsFor,takeawaysFor,giveawaysFor,lowDangerShotsFor,mediumDangerShotsFor,highDangerShotsFor,lowDangerxGoalsFor,mediumDangerxGoalsFor,highDangerxGoalsFor,lowDangerGoalsFor,mediumDangerGoalsFor,highDangerGoalsFor,scoreAdjustedShotsAttemptsFor,unblockedShotAttemptsFor,scoreAdjustedUnblockedShotAttemptsFor,dZoneGiveawaysFor,xGoalsFromxReboundsOfShotsFor,xGoalsFromActualReboundsOfShotsFor,reboundxGoalsFor,totalShotCreditFor,scoreAdjustedTotalShotCreditFor,scoreFlurryAdjustedTotalShotCreditFor,xOnGoalAgainst,xGoalsAgainst,xReboundsAgainst,xFreezeAgainst,xPlayStoppedAgainst,xPlayContinuedInZoneAgainst,xPlayContinuedOutsideZoneAgainst,flurryAdjustedxGoalsAgainst,scoreVenueAdjustedxGoalsAgainst,flurryScoreVenueAdjustedxGoalsAgainst,shotsOnGoalAgainst,missedShotsAgainst,blockedShotAttemptsAgainst,shotAttemptsAgainst,goalsAgainst,reboundsAgainst,reboundGoalsAgainst,freezeAgainst,playStoppedAgainst,playContinuedInZoneAgainst,playContinuedOutsideZoneAgainst,savedShotsOnGoalAgainst,savedUnblockedShotAttemptsAgainst,penaltiesAgainst,penalityMinutesAgainst,faceOffsWonAgainst,hitsAgainst,takeawaysAgainst,giveawaysAgainst,lowDangerShotsAgainst,mediumDangerShotsAgainst,highDangerShotsAgainst,lowDangerxGoalsAgainst,mediumDangerxGoalsAgainst,highDangerxGoalsAgainst,lowDangerGoalsAgainst,mediumDangerGoalsAgainst,highDangerGoalsAgainst,scoreAdjustedShotsAttemptsAgainst,unblockedShotAttemptsAgainst,scoreAdjustedUnblockedShotAttemptsAgainst,dZoneGiveawaysAgainst,xGoalsFromxReboundsOfShotsAgainst,xGoalsFromActualReboundsOfShotsAgainst,reboundxGoalsAgainst,totalShotCreditAgainst,scoreAdjustedTotalShotCreditAgainst,scoreFlurryAdjustedTotalShotCreditAgainst
NYI,2025,NYI,NYI,Team Level,other,82,0.48,0.55,0.56,14657.0,217.59,42.14,15.85,40.51,7.55,120.64,70.32,38.86,42.14,38.86,200.0,97.0,94.0,391.0,39.0,24.0,2.0,33.0,1.0,112.0,88.0,161.0,258.0,4.0,8.0,174.0,33.0,24.0,53.0,165.0,72.0,60.0,6.71,8.89,26.54,8.0,15.0,16.0,391.0,297.0,297.0,23.0,4.58,6.91,6.91,39.81,39.81,37.75,164.44,46.38,11.71,28.08,5.9,85.83,51.11,43.41,46.38,43.41,132.0,97.0,93.0,322.0,33.0,17.0,3.0,18.0,3.0,96.0,62.0,99.0,196.0,7.0,14.0,131.0,32.0,25.0,52.0,108.0,53.0,68.0,3.88,6.56,35.94,10.0,6.0,17.0,322.0,229.0,229.0,26.0,3.38,6.53,6.53,43.24,43.24,41.17
NYI,2025,NYI,NYI,Team Level,all,82,0.48,0.5,0.5,299286.0,2583.86,256.5,179.81,628.8,90.1,1388.71,984.07,242.23,255.68,241.46,2312.0,1216.0,1262.0,4790.0,229.0,315.0,29.0,510.0,6.0,1237.0,1231.0,2083.0,3299.0,246.0,531.0,2367.0,1599.0,368.0,1190.0,2588.0,661.0,279.0,78.84,80.79,96.87,93.0,74.0,62.0,4771.47,3528.0,3514.26,579.0,40.36,67.06,67.35,229.52,228.86,221.33,2624.64,276.12,187.62,622.62,88.16,1379.9,993.59,260.64,277.38,261.85,2271.0,1277.0,1306.0,4854.0,236.0,334.0,22.0,398.0,7.0,1324.0,1249.0,2035.0,3312.0,273.0,594.0,2129.0,1668.0,367.0,1240.0,2505.0,712.0,331.0,76.42,87.8,111.9,92.0,89.0,55.0,4883.76,3548.0,3568.52,557.0,41.95,67.16,67.16,250.9,252.01,244.35
NYI,2025,NYI,NYI,Team Level,5on5,82,0.48,0.49,0.49,241903.0,1976.22,166.7,129.2,509.34,68.91,1058.46,771.39,160.06,165.88,159.3,1752.0,952.0,1010.0,3714.0,146.0,245.0,22.0,405.0,5.0,950.0,953.0,1606.0,2558.0,220.0,480.0,1776.0,1536.0,302.0,1022.0,2063.0,484.0,157.0,61.49,59.44,45.77,75.0,47.0,24.0,3695.47,2704.0,2690.26,516.0,26.86,48.67,48.96,144.6,143.93,141.26,2049.95,180.84,138.09,510.3,68.75,1083.23,802.79,173.12,182.11,174.34,1761.0,1023.0,1080.0,3864.0,159.0,251.0,14.0,334.0,3.0,1034.0,1003.0,1602.0,2625.0,241.0,527.0,1667.0,1573.0,308.0,1085.0,2050.0,545.0,189.0,63.25,67.18,50.42,73.0,68.0,18.0,3893.76,2784.0,2804.52,490.0,28.8,46.57,46.66,162.98,164.09,160.66
NYI,2025,NYI,NYI,Team Level,4on5,82,0.13,0.13,0.16,20118.0,64.18,6.27,3.45,9.96,2.26,21.01,44.06,6.23,6.27,6.23,67.0,20.0,4.0,91.0,8.0,3.0,0.0,7.0,0.0,16.0,53.0,59.0,79.0,7.0,14.0,194.0,24.0,29.0,42.0,62.0,20.0,5.0,2.25,2.61,1.41,2.0,3.0,3.0,91.0,87.0,87.0,36.0,0.78,0.45,0.45,6.61,6.61,6.58,351.0,43.09,34.97,75.68,11.71,193.42,100.14,38.41,43.09,38.41,319.0,140.0,125.0,584.0,35.0,61.0,4.0,45.0,1.0,179.0,138.0,284.0,424.0,18.0,36.0,159.0,20.0,10.0,65.0,301.0,92.0,66.0,8.24,11.24,23.61,7.0,9.0,19.0,584.0,459.0,459.0,7.0,9.11,13.06,12.98,39.22,39.22,37.07
NYI,2025,NYI,NYI,Team Level,5on4,82,0.88,0.88,0.85,22608.0,325.88,41.41,31.31,68.99,11.38,188.61,98.31,37.08,41.41,37.08,293.0,147.0,154.0,594.0,36.0,43.0,5.0,65.0,0.0,159.0,137.0,257.0,404.0,15.0,29.0,223.0,6.0,13.0,73.0,298.0,85.0,57.0,8.4,9.85,23.16,8.0,9.0,19.0,594.0,440.0,440.0,4.0,8.14,11.04,11.04,38.51,38.51,35.75,59.26,5.8,2.86,8.56,1.81,17.41,39.56,5.7,5.8,5.7,59.0,17.0,8.0,84.0,9.0,5.0,1.0,1.0,0.0,15.0,46.0,50.0,67.0,7.0,17.0,172.0,43.0,24.0,38.0,46.0,22.0,8.0,1.05,2.83,1.93,2.0,6.0,1.0,84.0,76.0,76.0,34.0,0.66,1.0,1.0,5.47,5.47,5.45
MTL,2025,MTL,MTL,Team Level,other,82,0.55,0.49,0.51,13781.0,214.32,52.5,13.85,39.03,7.26,109.86,71.49,46.48,52.5,46.48,170.0,124.0,81.0,375.0,39.0,20.0,3.0,24.0,1.0,124.0,86.0,131.0,255.0,9.0,18.0,169.0,28.0,20.0,37.0,145.0,75.0,74.0,6.22,9.39,36.9,7.0,10.0,22.0,375.0,294.0,294.0,13.0,4.05,6.74,6.74,49.82,49.82,44.89,205.97,43.14,14.58,37.27,7.19,110.32,65.5,39.43,43.14,39.43,187.0,91.0,109.0,387.0,39.0,23.0,3.0,21.0,0.0,117.0,78.0,148.0,239.0,7.0,12.0,159.0,45.0,14.0,42.0,134.0,84.0,60.0,5.9,9.86,27.38,8.0,10.0,21.0,387.0,278.0,278.0,15.0,4.22,7.29,7.29,40.07,40.07,37.21
MTL,2025,MTL,MTL,Team Level,all,82,0.5,0.48,0.49,300433.0,2483.65,268.31,166.3,577.39,84.14,1325.31,971.54,252.13,269.3,253.07,2157.0,1236.0,1209.0,4602.0,279.0,237.0,29.0,462.0,8.0,1227.0,1180.0,1878.0,3114.0,332.0,723.0,2292.0,1810.0,364.0,1120.0,2420.0,693.0,280.0,77.8,83.19,107.33,107.0,93.0,79.0,4622.44,3393.0,3405.91,506.0,37.27,49.67,50.04,255.56,256.49,245.88,2594.69,273.39,177.56,616.69,87.07,1362.21,969.09,256.93,273.76,257.31,2282.0,1204.0,1431.0,4917.0,251.0,313.0,25.0,465.0,4.0,1252.0,1201.0,2031.0,3235.0,325.0,713.0,2204.0,1824.0,363.0,1254.0,2414.0,759.0,313.0,74.6,92.82,105.97,85.0,96.0,70.0,4910.92,3486.0,3482.81,569.0,39.94,64.46,64.51,248.82,249.13,239.56
MTL,2025,MTL,MTL,Team Level,5on5,82,0.48,0.49,0.49,240192.0,1875.42,160.55,121.74,462.41,64.08,1011.94,757.27,154.72,161.54,155.66,1632.0,946.0,992.0,3570.0,184.0,178.0,17.0,389.0,3.0,922.0,902.0,1448.0,2394.0,296.0,651.0,1724.0,1730.0,299.0,967.0,1952.0,484.0,142.0,62.68,58.52,39.36,92.0,69.0,23.0,3590.44,2578.0,2590.91,451.0,25.27,33.5,33.5,152.33,153.27,150.5,1959.48,174.71,125.79,491.69,65.39,1018.39,756.03,166.98,175.09,167.37,1701.0,931.0,1137.0,3769.0,161.0,234.0,18.0,360.0,2.0,935.0,940.0,1540.0,2471.0,286.0,637.0,1640.0,1705.0,308.0,1079.0,1913.0,539.0,180.0,58.57,66.44,49.7,66.0,69.0,26.0,3762.92,2632.0,2628.81,507.0,26.21,45.34,45.54,155.37,155.68,152.52
MTL,2025,MTL,MTL,Team Level,4on5,82,0.1,0.13,0.14,23552.0,65.97,5.83,3.05,9.55,2.06,20.73,45.79,5.79,5.83,5.79,69.0,18.0,12.0,99.0,5.0,3.0,0.0,3.0,1.0,14.0,61.0,64.0,82.0,14.0,28.0,211.0,42.0,25.0,39.0,62.0,20.0,5.0,2.05,2.45,1.32,2.0,3.0,0.0,99.0,87.0,87.0,35.0,0.7,0.27,0.27,6.25,6.25,6.23,382.33,51.52,34.96,80.84,12.98,218.64,114.06,46.55,51.52,46.55,346.0,167.0,171.0,684.0,47.0,55.0,4.0,78.0,2.0,190.0,141.0,299.0,466.0,19.0,38.0,194.0,20.0,12.0,84.0,321.0,123.0,69.0,8.78,14.83,27.91,10.0,15.0,22.0,684.0,513.0,513.0,6.0,9.0,11.63,11.47,49.05,49.05,45.51
MTL,2025,MTL,MTL,Team Level,5on4,82,0.92,0.88,0.87,22908.0,327.95,49.43,27.66,66.41,10.74,182.78,97.0,45.15,49.43,45.15,286.0,148.0,124.0,558.0,51.0,36.0,9.0,46.0,3.0,167.0,131.0,235.0,383.0,13.0,26.0,188.0,10.0,20.0,77.0,261.0,114.0,59.0,6.84,12.83,29.75,6.0,11.0,34.0,558.0,434.0,434.0,7.0,7.25,9.16,9.52,47.15,47.15,44.27,46.9,4.02,2.22,6.89,1.52,14.86,33.49,3.97,4.02,3.97,48.0,15.0,14.0,77.0,4.0,1.0,0.0,6.0,0.0,10.0,42.0,44.0,59.0,13.0,26.0,211.0,54.0,29.0,49.0,46.0,13.0,4.0,1.35,1.69,0.98,1.0,2.0,1.0,77.0,63.0,63.0,41.0,0.51,0.2,0.2,4.33,4.33,4.32
NJD,2025,NJD,NJD,Team Level,other,82,0.54,0.56,0.55,9932.0,167.82,40.31,13.22,29.22,5.98,92.08,50.19,37.58,40.31,37.58,157.0,74.0,85.0,316.0,41.0,19.0,3.0,13.0,0.0,102.0,56.0,116.0,190.0,1.0,2.0,97.0,24.0,22.0,31.0,120.0,52.0,59.0,5.11,6.54,28.66,6.0,8.0,27.0,316.0,231.0,231.0,10.0,3.72,5.48,5.48,38.54,38.54,36.69,134.2,34.78,10.24,22.71,4.69,73.41,40.16,32.3,34.78,32.3,117.0,69.0,65.0,251.0,29.0,14.0,3.0,17.0,1.0,74.0,51.0,88.0,157.0,2.0,4.0,105.0,33.0,9.0,35.0,86.0,51.0,49.0,3.76,6.2,24.83,1.0,6.0,22.0,251.0,186.0,186.0,13.0,2.98,3.67,3.67,34.09,34.09,32.06
NJD,2025,NJD,NJD,Team Level,all,82,0.51,0.52,0.52,298448.0,2678.38,261.2,188.54,645.01,91.38,1440.59,1033.27,248.46,260.71,248.04,2426.0,1234.0,1359.0,5019.0,226.0,307.0,20.0,467.0,5.0,1378.0,1277.0,2200.0,3434.0,244.0,550.0,2289.0,1514.0,380.0,1321.0,2703.0,678.0,279.0,80.48,83.59,97.13,82.0,78.0,66.0,4979.6,3660.0,3642.12,616.0,42.08,61.21,61.21,242.08,241.55,235.35,2492.69,249.47,177.92,595.29,85.47,1346.29,957.55,237.22,251.17,238.87,2247.0,1165.0,1250.0,4662.0,253.0,292.0,40.0,481.0,4.0,1173.0,1209.0,1994.0,3159.0,238.0,534.0,2240.0,1615.0,382.0,1287.0,2500.0,638.0,274.0,75.97,79.02,94.48,100.0,78.0,75.0,4711.85,3412.0,3445.28,599.0,39.65,59.57,59.57,229.54,231.19,224.57
NJD,2025,NJD,NJD,Team Level,5on5,82,0.5,0.51,0.51,248798.0,2116.58,169.56,139.51,536.39,71.79,1139.48,842.28,163.31,169.08,162.89,1883.0,1016.0,1114.0,4013.0,136.0,227.0,7.0,402.0,4.0,1086.0,1044.0,1747.0,2763.0,219.0,497.0,1812.0,1424.0,317.0,1174.0,2241.0,508.0,150.0,65.6,62.91,41.05,67.0,57.0,12.0,3973.6,2899.0,2881.12,564.0,29.02,40.13,40.13,158.45,157.92,155.28,2008.26,172.66,136.11,499.81,68.32,1081.82,794.28,166.32,174.36,167.97,1801.0,952.0,1046.0,3799.0,183.0,229.0,27.0,404.0,2.0,937.0,998.0,1618.0,2570.0,213.0,481.0,1806.0,1516.0,336.0,1153.0,2082.0,499.0,172.0,62.96,62.22,47.48,86.0,66.0,31.0,3848.85,2753.0,2786.28,562.0,28.38,44.37,44.38,156.66,158.32,155.51
NJD,2025,NJD,NJD,Team Level,4on5,82,0.15,0.14,0.16,20212.0,59.95,6.65,3.54,8.09,1.83,18.83,41.07,6.56,6.65,6.56,62.0,18.0,11.0,91.0,6.0,2.0,0.0,3.0,0.0,14.0,55.0,56.0,74.0,11.0,25.0,175.0,42.0,27.0,43.0,46.0,25.0,9.0,1.42,3.1,2.13,1.0,4.0,1.0,91.0,80.0,80.0,37.0,0.81,0.32,0.32,7.13,7.13,7.07,306.64,37.56,29.11,66.27,10.98,177.08,94.0,34.26,37.56,34.26,285.0,130.0,131.0,546.0,39.0,44.0,9.0,59.0,1.0,146.0,126.0,246.0,376.0,15.0,33.0,187.0,21.0,13.0,71.0,297.0,70.0,48.0,8.21,8.35,21.01,13.0,4.0,22.0,546.0,415.0,415.0,2.0,7.73,10.6,10.59,34.69,34.69,32.92
NJD,2025,NJD,NJD,Team Level,5on4,82,0.91,0.9,0.89,19506.0,334.04,44.68,32.28,71.32,11.79,190.2,99.73,41.01,44.68,41.01,324.0,126.0,149.0,599.0,43.0,59.0,10.0,49.0,1.0,176.0,122.0,281.0,407.0,13.0,26.0,205.0,24.0,14.0,73.0,296.0,93.0,61.0,8.35,11.04,25.3,8.0,9.0,26.0,599.0,450.0,450.0,5.0,8.54,15.27,15.27,37.95,37.95,36.3,43.59,4.46,2.48,6.49,1.48,13.99,29.11,4.35,4.46,4.35,44.0,14.0,8.0,66.0,2.0,5.0,1.0,1.0,0.0,16.0,34.0,42.0,56.0,8.0,16.0,142.0,45.0,24.0,28.0,35.0,18.0,5.0,1.04,2.26,1.17,0.0,2.0,0.0,66.0,58.0,58.0,22.0,0.56,0.92,0.92,4.09,4.09,4.07
